quarter,manager,filer_cik,filer_name,status,form,accession,filing_date,detail
2024Q2,Altimeter,1541617,"Altimeter Capital Management, LP",HOLDINGS,13F-HR,0001541617-24-000007,2024-08-14,20 rows from 1 filing(s)
2024Q2,Appaloosa,1656456,Appaloosa LP,HOLDINGS,13F-HR,0001656456-24-000003,2024-08-14,37 rows from 1 filing(s)
2024Q2,Atreides,1777813,"Atreides Management, LP",HOLDINGS,13F-HR,0001777813-24-000008,2024-08-14,40 rows from 1 filing(s)
2024Q2,Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,HOLDINGS,13F-HR,0000950123-24-008740,2024-08-14,129 rows from 1 filing(s)
2024Q2,Coatue,1135730,COATUE MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-24-004594,2024-08-14,192 rows from 1 filing(s)
2024Q2,Fairholme,1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-24-004743,2024-08-14,7 rows from 1 filing(s)
2024Q2,Fundsmith,1569205,Fundsmith LLP,HOLDINGS,13F-HR,0001520023-24-000030,2024-08-14,40 rows from 1 filing(s)
2024Q2,Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,HOLDINGS,13F-HR,0001868537-24-000009,2024-08-14,28 rows from 1 filing(s)
2024Q2,Giverny,1641864,Giverny Capital Inc.,HOLDINGS,13F-HR,0001641864-24-000006,2024-08-14,50 rows from 1 filing(s)
2024Q2,Greenlight,1489933,"DME Capital Management, LP",HOLDINGS,13F-HR,0001172661-24-003549,2024-08-14,81 rows from 1 filing(s)
2024Q2,Icahn,921669,ICAHN CARL C,HOLDINGS,13F-HR,0001539497-24-001704,2024-08-14,19 rows from 1 filing(s)
2024Q2,Leon Cooperman,898382,COOPERMAN LEON G,HOLDINGS,13F-HR,0000945621-24-000673,2024-08-14,52 rows from 1 filing(s)
