quarter,manager,filer_cik,filer_name,form,accession,filing_date,report_date,retrieved_date,role,rows_parsed,table_entry_total,rows_match,value_parsed_usd,table_value_total,value_match,exception_id,filing_url
2024Q2,Altimeter,1541617,"Altimeter Capital Management, LP",13F-HR,0001541617-24-000007,2024-08-14,2024-06-30,2026-08-12,BASE_ORIGINAL,20,20,True,6731598776,6731598776,True,,https://www.sec.gov/Archives/edgar/data/1541617/000154161724000007/0001541617-24-000007-index.htm
2024Q2,Appaloosa,1656456,Appaloosa LP,13F-HR,0001656456-24-000003,2024-08-14,2024-06-30,2026-08-12,BASE_ORIGINAL,37,37,True,6175369744,6175369744,True,,https://www.sec.gov/Archives/edgar/data/1656456/000165645624000003/0001656456-24-000003-index.htm
2024Q2,Atreides,1777813,"Atreides Management, LP",13F-HR,0001777813-24-000008,2024-08-14,2024-06-30,2026-08-12,BASE_ORIGINAL,40,40,True,3062155012,3062155012,True,,https://www.sec.gov/Archives/edgar/data/1777813/000177781324000008/0001777813-24-000008-index.htm
2024Q2,Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,13F-HR,0000950123-24-008740,2024-08-14,2024-06-30,2026-08-12,BASE_ORIGINAL,129,129,True,279969062343,279969062343,True,,https://www.sec.gov/Archives/edgar/data/1067983/000095012324008740/0000950123-24-008740-index.htm
2024Q2,Coatue,1135730,COATUE MANAGEMENT LLC,13F-HR,0000919574-24-004594,2024-08-14,2024-06-30,2026-08-12,BASE_ORIGINAL,192,192,True,25688066436,25688066436,True,,https://www.sec.gov/Archives/edgar/data/1135730/000091957424004594/0000919574-24-004594-index.htm
2024Q2,Fundsmith,1569205,Fundsmith LLP,13F-HR,0001520023-24-000030,2024-08-14,2024-06-30,2026-08-12,BASE_ORIGINAL,40,40,True,24539466801,24539466801,True,,https://www.sec.gov/Archives/edgar/data/1569205/000152002324000030/0001520023-24-000030-index.htm
2024Q2,Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,13F-HR,0001868537-24-000009,2024-08-14,2024-06-30,2026-08-12,BASE_ORIGINAL,28,28,True,7750041584,7750041584,True,,https://www.sec.gov/Archives/edgar/data/1868537/000186853724000009/0001868537-24-000009-index.htm
2024Q2,Greenlight,1489933,"DME Capital Management, LP",13F-HR,0001172661-24-003549,2024-08-14,2024-06-30,2026-08-12,BASE_ORIGINAL,81,81,True,2044406325,2044406325,True,,https://www.sec.gov/Archives/edgar/data/1489933/000117266124003549/0001172661-24-003549-index.htm
2024Q2,Lindsell Train,1484150,Lindsell Train Ltd,13F-HR,0001172661-24-002860,2024-07-23,2024-06-30,2026-08-12,BASE_ORIGINAL,29,29,True,4334516778,4334516778,True,,https://www.sec.gov/Archives/edgar/data/1484150/000117266124002860/0001172661-24-002860-index.htm
2024Q2,Lone Pine,1061165,LONE PINE CAPITAL LLC,13F-HR,0000902664-24-005150,2024-08-14,2024-06-30,2026-08-12,BASE_ORIGINAL,24,24,True,12329311691,12329311691,True,,https://www.sec.gov/Archives/edgar/data/1061165/000090266424005150/0000902664-24-005150-index.htm
